CHILDID,S1_ID,S2_ID,S3_ID,S4_ID,S5_ID,S6_ID,S7_ID,KURBAN_R,GENDER,RACE,C1R4MSCL,C2R4MSCL,C3R4MSCL,C4R4MSCL,C5R4MSCL,C6R4MSCL,C7R4MSCL,W1SESL,W3SESL,W5SESL,S2PUBLIC
0011017C,0011,0011, ,0011,0011,0011,0011,3,2,1,19.64,26.86, ,56.66,121.16,141.46,162.45,.05,-.02,.1,1
0011018C,0011,0011, ,0011,0011,0011,0011,3,1,1,20.39,32, ,44.55,85.7,99.79,133.32,-.54,-.81,-.77,1
0011019C,0011,0011, ,0011,0011,0011,0011,3,2,1,18.58,27.74, ,58.66,93.14,101.93,133.5,.28,.23,.09,1
0011020C,0011,0011, ,0011,0011,0011,0011,3,1,3,40.64,42.63, ,82.58,121.41,155.22,166.85,-.46,-.08,-.35,1
0011021C,0011,0011, ,0011,0011,0011, ,3,2,1,24.98,34.8, ,45.08,76.33,121.08, ,.33,.32, ,1
0011022C,0011,0011, ,0011,0011,0011,C286,3,1,1,18.07,21.63, ,33.13,73.15,97.8,104.88,-.35, ,-.66,1
0011023C,0011,0011, ,0011,0011,0011,0011,3,2,1,19.78,25.55, ,56.91,93.36,107.8,143.84,-.19,.26,-.23,1
0011024C,0011,0011, ,0011,0011,0011,0011,3,1,1,40.11,47.56, ,60.49,135.33,154.01,165.33,.31,.35,.32,1
0013001C,0013,0013,9998,4075,4075,4075,C139,3,2,1,45.53,55.93, ,68.45,110.04,137.07,162.29,1.21,1.18,1.23,2
0013003C,0013,0013,6396,6396,4075, , ,3,1,1,55.17,69.39,61.5,105.5,130.8, , ,.63,-.14, ,2
0013004C,0013,0013, , , , , ,3,1,1,39.9, , , , , , , , , ,2
0013005C,0013,0013,9998,6333,5219,5219,5219,3,2,1,47.25,50.15, ,105.19,101.32,130.18,162.5,.57,.53,.5,2
0013006C,0013,0013,4075,4075,4075, , ,3,2,1,36.37,56.38,74.47,94.03,118.42, , ,2.46,2.25, ,2
0013007C,0013,0013, , ,7953, , ,3,1,1,35.33,46.25, , ,103.7, , , ,1.3, ,2
0013008C,0013,0013,5219,5219,5219, , ,3,2,1,44.39,58.85,74.95,101.45,154.65, , ,1.41,1.47, ,2
0013009C,0013,0013,9998,0020,0020, , ,3,1,1,37.89,49.45, ,61.4,102.59, , ,1.75,1.62, ,2
0014001C,0014,0014, ,0014,0014,0014,0014,3,1,1,21.31,45.74, ,71.14,119.61,142.46,163.52,-.32,-.18,-.13,1
0014002C,0014,0014, ,0014,0014,0014,0014,3,2,1,17.33,30.62, ,45.81,74.79,104.16,137.41,-.42,-.06,-.01,1
0014003C,0014,0014, ,0014,0014, , ,3,2,1,28.91,35.31, ,57.74,104.16, , ,-.61,-.6, ,1
0014004C,0014,0014, ,0014, , , ,3,1,1,13.39,24.53, ,32.69, , , ,-.58, , ,1
0015001C,0015,0015,0015,0015,7198,4230,C016,3,1,6,18.21,34.15,31.49,52.61,107.11,141.81,156.06,-.31, ,-.39,1
0015002C,0015,0015, , , , , ,3,1,1,46.35,59.69, , , , , , , , ,1
0015003C,0015,0015,0015,0015,0015, , ,3,1,1,26.73,28.47,42.85,68.64,116.95, , ,.02,-.12, ,1
0015004C,0015,0015,0015,0015,0015,7198, ,3,1,1,17.45,21.07,22.33,42.28,61.47,102.73, ,-.55,-.6,-.65,1
0015005C,0015,0015,0015,9997,9997, , ,3,2,1,31.02,46.26,45.62, , , , ,-.6,-.69, ,1
0015006C,0015,0015,0015,0015,0015,9997,C291,3,1,1,29.58,34.86,39.24,60.43,104.03, ,143.41,-.29,-.24,-.08,1
0015007C,0015,4236,9998,4236,5241,0023, ,3,2,1, ,36.85, ,60.19,79.19,122.98, , ,-.85, ,1
0015008C,0015,0015,0015,9997,9997, , ,3,2,1,15.54,17.73,21.81, , , , ,-1.84,-1.43, ,1
0015009C,0015,0015,0015,0015,0015,7198, ,3,2,1,17.83,32.67,30.14,37.6,71.69,103.39, ,-.81, , ,1
