S_ID,CREGION,CS_TYPE2,KURBAN_R,S2KENRLS,S2KPUPRI
3013,3,4,3,4,1
3014,3,4,2,3,1
3016,3,4,3,1,1
3018,3,4,3,4,1
3019,3,4,2,4,1
3020,3,4,1,4,1
3021,3,4,1,4,1
3022,3,4,2,5,1
3023,3,4,1,3,1
3024,3,4,1,4,1
3025,3,4,2,4,1
3026,3,4,1,4,1
3027,4,4,1,3,1
3028,4,4,1,3,1
3029,4,4,1,2,1
3030,4,4,1,3,1
3031,4,4,1,3,1
3032,4,4,1,3,1
3033,4,4,1,3,1
3035,4,4,3,1,1
3036,4,4,3,3,1
3038,4,4,3,2,1
3039,4,4,3,3,1
3040,4,4,2,2,1
3041,4,4,3,3,1
3042,4,4,3,4,1
3043,4,4,3,3,1
3044,1,4,2,3,1
3046,1,4,2,3,1
3048,1,4,2,5,1
3052,1,4,2,4,1
3053,1,4,2,3,1
3062,1,4,2,2,1
3063,1,4,2,3,1
3068,1,4,2,1,1
3069,1,4,3,1,1
3070,1,4,3,2,1
3071,1,4,3,2,1
3072,1,4,3,1,1
3073,2,4,3,2,1
3074,2,4,3,2,1
3077,2,4,2,5,1
3080,2,4,1,3,1
3082,2,4,3,2,1
3084,3,4,3,3,1
3094,3,4,2,3,1
3102,3,4,1,4,1
3103,3,4,1,3,1
3105,3,4,1,4,1
3106,3,4,1,4,1
3107,3,4,1,4,1
3108,3,4,3,3,1
3114,4,4,1,5,1
3115,4,4,1,4,1
3116,4,4,1,3,1
